Drug A,Drug B,Cell Line Name,Score
Quinacrine hydrochloride,Docetaxel,K-562,-3.7777777777777777
Sorafenib tosylate,Celecoxib,SF-268,-7.888888888888887
Dasatinib,Docetaxel,U251,-0.2222222222222222
Tamoxifen citrate,Cladribine,NCI-H322M,-2.7777777777777777
Sorafenib tosylate,Tretinoin,CAKI-1,4.333333333333333
Sorafenib tosylate,Sirolimus,SK-MEL-28,10.444444444444443
Dasatinib,Docetaxel,UACC-257,0.5555555555555556
Fulvestrant,Everolimus,NCI-H226,-10.222222222222221
Everolimus,Docetaxel,PC-3,6.222222222222222
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),HOP-62,-9.333333333333334
Dasatinib,Romidepsin,U251,-3.4444444444444446
Paclitaxel,Nilotinib,T-47D,-21.11111111111111
Fulvestrant,Nilotinib,T-47D,4.333333333333333
Vorinostat,Nilotinib,OVCAR-8,-10.333333333333334
Romidepsin,Paclitaxel,NCI-H460,-2.888888888888889
Sirolimus,Tretinoin,NCI-H522,-3.2222222222222223
Quinacrine hydrochloride,Paclitaxel,NCI-H23,-6.4444444444444455
Sorafenib tosylate,Tretinoin,SK-MEL-28,12.333333333333336
Docetaxel,Tretinoin,HT29,26.33333333333333
Tretinoin,Celecoxib,A549/ATCC,-3.0
Paclitaxel,Nilotinib,OVCAR-8,19.33333333333333
Nilotinib,Celecoxib,DU-145,-7.333333333333332
Dasatinib,Vorinostat,T-47D,3.555555555555556
Romidepsin,Nilotinib,UACC-62,-15.888888888888893
Vorinostat,Romidepsin,HS 578T,4.333333333333333
Dasatinib,Vorinostat,UO-31,-3.555555555555556
Mitotane,Imatinib mesylate,NCI-H460,-3.7777777777777777
Tamoxifen citrate,Cladribine,NCI-H522,3.4444444444444446
Dasatinib,Sirolimus,UO-31,2.333333333333333
Dasatinib,Celecoxib,MCF7,-0.5555555555555556
Vinblastine sulfate (hydrate),Celecoxib,T-47D,-11.222222222222221
Sorafenib tosylate,Tretinoin,UACC-62,7.222222222222222
Nilotinib,Cladribine,MDA-MB-468,-0.3333333333333333
Sirolimus,Vinblastine sulfate (hydrate),UO-31,3.7777777777777777
Sirolimus,Imatinib mesylate,MCF7,-6.777777777777778
Everolimus,Nilotinib,MDA-MB-468,-9.111111111111107
Sorafenib tosylate,Celecoxib,SF-539,-6.222222222222222
Nilotinib,Tretinoin,SF-268,-5.5555555555555545
Thalidomide,Cladribine,K-562,-5.111111111111111
Thalidomide,Vinblastine sulfate (hydrate),ACHN,-4.777777777777779
Vinblastine sulfate (hydrate),Tamoxifen citrate,OVCAR-3,25.44444444444445
Tamoxifen citrate,Celecoxib,IGROV1,-1.8888888888888888
Vinblastine sulfate (hydrate),Imatinib mesylate,MDA-MB-231/ATCC,2.2222222222222223
Vinblastine sulfate (hydrate),Dasatinib,SK-MEL-28,-0.4444444444444444
Vinblastine sulfate (hydrate),Romidepsin,SW-620,-1.2222222222222223
Romidepsin,Cladribine,HT29,-2.555555555555556
Docetaxel,Celecoxib,LOX IMVI,16.88888888888889
Romidepsin,Cladribine,LOX IMVI,-4.5555555555555545
Tamoxifen citrate,Tretinoin,MCF7,-0.4444444444444444
Vinblastine sulfate (hydrate),Cladribine,RPMI-8226,5.888888888888888
Gefitinib,Lenalidomide,U251,-3.111111111111111
Sorafenib tosylate,Romidepsin,SK-MEL-28,-7.666666666666668
Thalidomide,Tretinoin,SK-OV-3,-3.888888888888889
Dasatinib,Nilotinib,A498,-7.0
Vorinostat,Celecoxib,HS 578T,-1.6666666666666667
Everolimus,Docetaxel,MDA-MB-468,10.444444444444443
Vinblastine sulfate (hydrate),Tretinoin,DU-145,-3.555555555555556
Thalidomide,Tretinoin,NCI-H226,-0.1111111111111111
Fulvestrant,Tamoxifen citrate,BT-549,-0.3333333333333333
Dasatinib,Imatinib mesylate,A549/ATCC,1.1111111111111112
Quinacrine hydrochloride,Paclitaxel,MDA-MB-231/ATCC,4.888888888888889
Vorinostat,Romidepsin,UACC-257,-2.555555555555556
Vorinostat,Docetaxel,NCI-H226,-3.111111111111111
Mitotane,Sirolimus,A498,2.333333333333333
Romidepsin,Imatinib mesylate,DU-145,-11.888888888888893
Sirolimus,Imatinib mesylate,HL-60(TB),-27.222222222222207
Dasatinib,Vorinostat,KM12,-1.5555555555555556
Sirolimus,Mitotane,EKVX,6.333333333333332
Cladribine,Celecoxib,OVCAR-4,-4.888888888888889
Tretinoin,Cladribine,IGROV1,2.333333333333333
Fulvestrant,Imatinib mesylate,HCT-116,-3.6666666666666665
Tamoxifen citrate,Celecoxib,UO-31,-3.0
Nilotinib,Vinblastine sulfate (hydrate),T-47D,0.7777777777777778
Thalidomide,Tretinoin,SW-620,-4.888888888888889
Paclitaxel,Cladribine,MDA-MB-231/ATCC,8.333333333333334
Sorafenib tosylate,Celecoxib,UACC-257,-2.6666666666666665
Nilotinib,Tamoxifen citrate,A498,-1.5555555555555556
Sorafenib tosylate,Nilotinib,CAKI-1,-19.11111111111111
Thalidomide,Mitotane,EKVX,1.5555555555555556
Mitotane,Nilotinib,NCI-H226,-1.2222222222222223
Vorinostat,Paclitaxel,NCI-H322M,-25.0
Thalidomide,Cladribine,SK-MEL-28,-1.2222222222222223
Quinacrine hydrochloride,Docetaxel,UACC-62,-2.888888888888889
Cladribine,Celecoxib,HS 578T,-1.7777777777777777
Fulvestrant,Imatinib mesylate,SW-620,-8.0
Fulvestrant,Dasatinib,SW-620,-1.7777777777777777
Paclitaxel,Tamoxifen citrate,T-47D,-1.6666666666666667
Sirolimus,Nilotinib,T-47D,-22.555555555555557
Tretinoin,Cladribine,HCT-116,-12.777777777777779
Fulvestrant,Vorinostat,T-47D,2.333333333333333
Sirolimus,Nilotinib,SF-268,-10.111111111111107
Vinblastine sulfate (hydrate),Everolimus,MDA-MB-468,-10.444444444444443
Vinblastine sulfate (hydrate),Romidepsin,NCI-H23,6.222222222222222
Paclitaxel,Nilotinib,SW-620,5.222222222222221
Fulvestrant,Paclitaxel,A498,-1.7777777777777777
Fulvestrant,Celecoxib,HOP-62,-12.888888888888893
Thalidomide,Vinblastine sulfate (hydrate),SF-268,7.1111111111111125
Vinblastine sulfate (hydrate),Romidepsin,A498,-3.2222222222222223
Everolimus,Paclitaxel,NCI-H460,5.333333333333333
Vinblastine sulfate (hydrate),Nilotinib,NCI-H23,-1.5555555555555556
Thalidomide,Mitotane,DU-145,-7.333333333333332
Vinblastine sulfate (hydrate),Cladribine,NCI-H522,-5.111111111111111
Sorafenib tosylate,Celecoxib,HS 578T,-6.5555555555555545
Vinblastine sulfate (hydrate),Tamoxifen citrate,UO-31,-1.8888888888888888
Sorafenib tosylate,Celecoxib,ACHN,-2.333333333333333
Mitotane,Imatinib mesylate,CAKI-1,-11.444444444444445
Everolimus,Imatinib mesylate,A498,-8.555555555555555
Mitotane,Everolimus,UO-31,13.111111111111107
Vinblastine sulfate (hydrate),Paclitaxel,KM12,-2.555555555555556
Everolimus,Cladribine,NCI-H322M,-16.555555555555557
Mitotane,Cladribine,KM12,0.5555555555555556
Dasatinib,Nilotinib,MDA-MB-231/ATCC,-18.22222222222221
Thalidomide,Tamoxifen citrate,HT29,0.0
Dasatinib,Nilotinib,UACC-257,-7.222222222222222
Vinblastine sulfate (hydrate),Cladribine,SW-620,-1.5555555555555556
Nilotinib,Imatinib mesylate,BT-549,-10.777777777777779
Everolimus,Docetaxel,LOX IMVI,0.5555555555555556
Vinblastine sulfate (hydrate),Sirolimus,K-562,-1.4444444444444444
Fulvestrant,Tretinoin,NCI-H226,-0.4444444444444444
Nilotinib,Imatinib mesylate,SK-OV-3,-15.333333333333336
Mitotane,Dasatinib,MDA-MB-435,-2.0
Sorafenib tosylate,Celecoxib,KM12,-5.5555555555555545
Dasatinib,Cladribine,UO-31,-4.5555555555555545
Sorafenib tosylate,Sirolimus,NCI-H522,-12.333333333333336
Mitotane,Nilotinib,SK-MEL-28,-4.0
Cladribine,Celecoxib,HOP-92,-9.888888888888893
Fulvestrant,Dasatinib,T-47D,0.4444444444444444
Sorafenib tosylate,Tretinoin,MDA-MB-435,2.6666666666666665
Everolimus,Celecoxib,DU-145,-4.2222222222222205
Vinblastine sulfate (hydrate),Imatinib mesylate,SK-MEL-5,10.555555555555557
Sorafenib tosylate,Nilotinib,T-47D,-7.555555555555554
Mitotane,Nilotinib,SF-539,-10.888888888888893
Mitotane,Paclitaxel,K-562,-1.8888888888888888
Vinblastine sulfate (hydrate),Tamoxifen citrate,MCF7,6.222222222222222
Mitotane,Cladribine,PC-3,-4.2222222222222205
Vorinostat,Celecoxib,MDA-MB-231/ATCC,2.6666666666666665
Vinblastine sulfate (hydrate),Vorinostat,MDA-MB-435,-6.666666666666668
Romidepsin,Imatinib mesylate,RPMI-8226,1.7777777777777777
Sirolimus,Nilotinib,DU-145,-4.333333333333333
Quinacrine hydrochloride,Sirolimus,SK-MEL-5,-6.5555555555555545
Paclitaxel,Imatinib mesylate,UACC-62,-3.0
Fulvestrant,Tamoxifen citrate,IGROV1,3.333333333333333
Fulvestrant,Romidepsin,SK-OV-3,-2.333333333333333
Quinacrine hydrochloride,Paclitaxel,HCT-116,-0.4444444444444444
Mitotane,Tamoxifen citrate,UACC-62,-3.333333333333333
Nilotinib,Tamoxifen citrate,HCT-116,-3.0
Vinblastine sulfate (hydrate),Imatinib mesylate,EKVX,-6.4444444444444455
Everolimus,Cladribine,SF-268,-5.777777777777778
Vinblastine sulfate (hydrate),Tamoxifen citrate,HOP-62,-4.666666666666667
Thalidomide,Mitotane,UACC-62,0.2222222222222222
Docetaxel,Tamoxifen citrate,OVCAR-4,30.44444444444445
Thalidomide,Sirolimus,RPMI-8226,-3.333333333333333
Gefitinib,Lenalidomide,T-47D,-1.0
Paclitaxel,Tretinoin,DU-145,40.55555555555557
Fulvestrant,Tretinoin,MCF7,4.666666666666667
Thalidomide,Tamoxifen citrate,CAKI-1,1.0
Dasatinib,Romidepsin,NCI-H460,-2.4444444444444446
Docetaxel,Nilotinib,NCI-H460,8.777777777777779
Mitotane,Imatinib mesylate,LOX IMVI,-0.7777777777777778
Vinblastine sulfate (hydrate),Romidepsin,K-562,-3.4444444444444446
Everolimus,Cladribine,HS 578T,-2.1111111111111107
Sirolimus,Cladribine,OVCAR-3,-10.222222222222221
Vorinostat,Tamoxifen citrate,DU-145,-0.7777777777777778
Quinacrine hydrochloride,Tretinoin,SK-MEL-28,-1.2222222222222223
Docetaxel,Tretinoin,HCT-116,21.555555555555557
Quinacrine hydrochloride,Tamoxifen citrate,U251,1.8888888888888888
Docetaxel,Tamoxifen citrate,OVCAR-3,50.33333333333334
Sorafenib tosylate,Imatinib mesylate,MALME-3M,-9.777777777777779
Vinblastine sulfate (hydrate),Imatinib mesylate,HCT-15,-1.0
Fulvestrant,Celecoxib,SK-OV-3,-12.444444444444445
Tamoxifen citrate,Celecoxib,BT-549,-5.0
Mitotane,Celecoxib,IGROV1,-1.4444444444444444
Nilotinib,Mitotane,OVCAR-4,-4.111111111111111
Vorinostat,Paclitaxel,HS 578T,-12.333333333333336
Sorafenib tosylate,Romidepsin,DU-145,1.4444444444444444
Mitotane,Tamoxifen citrate,SF-539,-2.4444444444444446
Dasatinib,Celecoxib,HCT-15,-3.555555555555556
Vinblastine sulfate (hydrate),Tamoxifen citrate,SF-295,3.111111111111111
Everolimus,Tretinoin,OVCAR-4,0.5555555555555556
Nilotinib,Celecoxib,A549/ATCC,-4.111111111111111
Sorafenib tosylate,Vorinostat,MCF7,-14.777777777777779
Mitotane,Docetaxel,NCI-H322M,10.0
Vinblastine sulfate (hydrate),Celecoxib,HOP-62,-2.6666666666666665
Mitotane,Cladribine,NCI-H23,-5.777777777777778
Romidepsin,Sirolimus,A549/ATCC,3.555555555555556
Imatinib mesylate,Cladribine,SW-620,-3.555555555555556
Paclitaxel,Imatinib mesylate,HS 578T,15.333333333333336
Vorinostat,Sirolimus,MALME-3M,1.7777777777777777
Romidepsin,Cladribine,SK-MEL-5,8.777777777777779
Vorinostat,Imatinib mesylate,UACC-62,-27.777777777777786
Dasatinib,Imatinib mesylate,KM12,-6.888888888888888
Mitotane,Celecoxib,UACC-62,-4.111111111111111
Sorafenib tosylate,Cladribine,MALME-3M,-10.555555555555557
Vorinostat,Sirolimus,KM12,-4.2222222222222205
Sorafenib tosylate,Dasatinib,OVCAR-4,-2.1111111111111107
Paclitaxel,Tretinoin,HCT-116,12.666666666666664
Romidepsin,Tretinoin,UACC-257,3.555555555555556
Paclitaxel,Tamoxifen citrate,SK-MEL-28,17.0
Sirolimus,Cladribine,UACC-257,-4.2222222222222205
Everolimus,Imatinib mesylate,UACC-257,-10.222222222222221
Romidepsin,Cladribine,OVCAR-8,11.222222222222221
Vinblastine sulfate (hydrate),Nilotinib,OVCAR-3,0.5555555555555556
Docetaxel,Tamoxifen citrate,UACC-62,9.333333333333334
Docetaxel,Celecoxib,NCI-H322M,-10.0
Fulvestrant,Everolimus,U251,0.1111111111111111
Vinblastine sulfate (hydrate),Everolimus,NCI-H322M,4.666666666666667
Quinacrine hydrochloride,Cladribine,NCI-H522,-5.5555555555555545
Sirolimus,Celecoxib,UO-31,6.888888888888888
Docetaxel,Celecoxib,NCI-H460,10.0
Everolimus,Docetaxel,OVCAR-3,-4.777777777777779
Romidepsin,Cladribine,UACC-62,-4.777777777777779
Quinacrine hydrochloride,Tamoxifen citrate,T-47D,0.7777777777777778
Thalidomide,Cladribine,HOP-62,-11.666666666666664
Everolimus,Tamoxifen citrate,LOX IMVI,0.1111111111111111
Vinblastine sulfate (hydrate),Cladribine,CAKI-1,1.7777777777777777
Imatinib mesylate,Cladribine,NCI-H226,-1.8888888888888888
Sorafenib tosylate,Docetaxel,MALME-3M,-0.7777777777777778
Fulvestrant,Dasatinib,OVCAR-8,1.3333333333333333
Romidepsin,Tretinoin,K-562,0.4444444444444444
Vinblastine sulfate (hydrate),Sirolimus,NCI-H522,7.0
Mitotane,Dasatinib,IGROV1,1.2222222222222223
Nilotinib,Celecoxib,KM12,-5.4444444444444455
Tretinoin,Cladribine,MDA-MB-231/ATCC,6.777777777777778
Fulvestrant,Cladribine,U251,1.6666666666666667
Docetaxel,Nilotinib,UACC-257,2.1111111111111107
Sirolimus,Celecoxib,IGROV1,4.777777777777779
Sorafenib tosylate,Dasatinib,BT-549,-0.8888888888888888
Everolimus,Nilotinib,LOX IMVI,-12.666666666666664
Paclitaxel,Celecoxib,NCI-H460,24.11111111111111
Docetaxel,Paclitaxel,T-47D,1.7777777777777777
Romidepsin,Tretinoin,SK-MEL-5,-5.111111111111111
Nilotinib,Vinblastine sulfate (hydrate),U251,-2.555555555555556
Thalidomide,Cladribine,NCI-H522,-1.5555555555555556
Paclitaxel,Sirolimus,HT29,-17.11111111111111
Romidepsin,Paclitaxel,A549/ATCC,0.1111111111111111
Mitotane,Nilotinib,HT29,-4.5555555555555545
Fulvestrant,Cladribine,DU-145,-0.5555555555555556
Quinacrine hydrochloride,Sirolimus,SF-539,3.111111111111111
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),MDA-MB-231/ATCC,2.4444444444444446
Vinblastine sulfate (hydrate),Vorinostat,DU-145,1.5555555555555556
Fulvestrant,Dasatinib,OVCAR-3,5.666666666666668
Fulvestrant,Dasatinib,BT-549,-2.555555555555556
Mitotane,Tamoxifen citrate,BT-549,-3.6666666666666665
Romidepsin,Tretinoin,OVCAR-3,-2.888888888888889
Thalidomide,Docetaxel,HOP-62,-2.888888888888889
Quinacrine hydrochloride,Sirolimus,OVCAR-8,-1.4444444444444444
Dasatinib,Celecoxib,HCT-116,-1.7777777777777777
Sorafenib tosylate,Nilotinib,SF-295,-5.777777777777778
Dasatinib,Imatinib mesylate,U251,-8.888888888888891
Fulvestrant,Everolimus,HT29,11.666666666666664
Docetaxel,Imatinib mesylate,SK-MEL-5,7.0
Vinblastine sulfate (hydrate),Celecoxib,MDA-MB-468,-4.777777777777779
Vinblastine sulfate (hydrate),Everolimus,IGROV1,-4.4444444444444455
Everolimus,Paclitaxel,NCI-H322M,-9.0
Vinblastine sulfate (hydrate),Paclitaxel,HCT-15,-4.777777777777779
Vorinostat,Sirolimus,HT29,-3.0
Vinblastine sulfate (hydrate),Romidepsin,OVCAR-3,2.6666666666666665
Sorafenib tosylate,Romidepsin,MDA-MB-231/ATCC,2.555555555555556
Vinblastine sulfate (hydrate),Tamoxifen citrate,ACHN,11.666666666666664
Fulvestrant,Romidepsin,SK-MEL-5,10.333333333333334
Fulvestrant,Sirolimus,EKVX,-2.0
Vinblastine sulfate (hydrate),Sirolimus,NCI-H322M,-0.8888888888888888
Vinblastine sulfate (hydrate),Vorinostat,K-562,4.111111111111111
Everolimus,Vorinostat,A549/ATCC,-5.666666666666668
Dasatinib,Tamoxifen citrate,HS 578T,14.777777777777779
Imatinib mesylate,Tretinoin,SK-OV-3,1.1111111111111112
Vorinostat,Sirolimus,A549/ATCC,-2.1111111111111107
Tamoxifen citrate,Cladribine,EKVX,-5.777777777777778
Paclitaxel,Tretinoin,UACC-257,10.111111111111107
Everolimus,Paclitaxel,DU-145,22.11111111111111
Vinblastine sulfate (hydrate),Celecoxib,RPMI-8226,-0.5555555555555556
Sorafenib tosylate,Nilotinib,HT29,-3.2222222222222223
Docetaxel,Tretinoin,OVCAR-8,17.333333333333332
Romidepsin,Imatinib mesylate,A549/ATCC,1.5555555555555556
Sirolimus,Tretinoin,A498,7.222222222222222
Tamoxifen citrate,Cladribine,SW-620,0.0
Paclitaxel,Nilotinib,UACC-257,0.3333333333333333
Mitotane,Imatinib mesylate,HT29,-7.222222222222222
Romidepsin,Docetaxel,HL-60(TB),0.0
Docetaxel,Fulvestrant,HL-60(TB),44.66666666666666
Vorinostat,Vinblastine sulfate (hydrate),HL-60(TB),-8.11111111111111
Sorafenib tosylate,Docetaxel,NCI-H460,15.333333333333336
Fulvestrant,Tretinoin,MDA-MB-231/ATCC,-2.555555555555556
Vorinostat,Celecoxib,NCI-H322M,-17.555555555555557
Vinblastine sulfate (hydrate),Vorinostat,HOP-62,0.1111111111111111
Dasatinib,Tretinoin,HT29,2.0
Thalidomide,Paclitaxel,EKVX,-2.7777777777777777
Fulvestrant,Paclitaxel,SK-MEL-5,-4.111111111111111
Vinblastine sulfate (hydrate),Paclitaxel,HOP-62,1.8888888888888888
Everolimus,Tamoxifen citrate,HL-60(TB),1.3333333333333333
Vinblastine sulfate (hydrate),Vorinostat,UACC-257,0.6666666666666666
Sorafenib tosylate,Nilotinib,KM12,-8.555555555555555
Imatinib mesylate,Tamoxifen citrate,SK-MEL-5,-2.6666666666666665
Tamoxifen citrate,Cladribine,HCT-116,-4.888888888888889
Mitotane,Tretinoin,NCI-H322M,-6.777777777777778
Sorafenib tosylate,Tretinoin,NCI-H460,4.111111111111111
Sorafenib tosylate,Everolimus,A549/ATCC,-17.777777777777782
Fulvestrant,Romidepsin,PC-3,-3.7777777777777777
Docetaxel,Paclitaxel,UACC-62,-1.5555555555555556
Paclitaxel,Imatinib mesylate,UO-31,3.555555555555556
Sirolimus,Vinblastine sulfate (hydrate),PC-3,0.7777777777777778
Fulvestrant,Cladribine,NCI-H322M,-6.5555555555555545
Vorinostat,Romidepsin,IGROV1,1.3333333333333333
Quinacrine hydrochloride,Tamoxifen citrate,SK-OV-3,-1.1111111111111112
Sorafenib tosylate,Tamoxifen citrate,IGROV1,-1.7777777777777777
Nilotinib,Tretinoin,OVCAR-3,-13.888888888888893
Thalidomide,Paclitaxel,OVCAR-4,-1.6666666666666667
Vinblastine sulfate (hydrate),Sirolimus,OVCAR-8,-3.2222222222222223
Quinacrine hydrochloride,Tamoxifen citrate,UACC-257,-7.1111111111111125
Vorinostat,Imatinib mesylate,OVCAR-8,-7.666666666666668
Paclitaxel,Celecoxib,NCI-H522,21.444444444444443
Romidepsin,Tamoxifen citrate,SF-268,-4.4444444444444455
Vinblastine sulfate (hydrate),Sirolimus,OVCAR-3,2.6666666666666665
Mitotane,Dasatinib,ACHN,3.4444444444444446
Dasatinib,Romidepsin,A498,-3.555555555555556
Vorinostat,Cladribine,SW-620,-3.333333333333333
Cladribine,Celecoxib,MDA-MB-435,-1.8888888888888888
Fulvestrant,Dasatinib,NCI-H226,0.2222222222222222
Imatinib mesylate,Tretinoin,EKVX,-8.0
Sorafenib tosylate,Paclitaxel,MDA-MB-468,13.555555555555555
Fulvestrant,Sirolimus,OVCAR-4,-6.666666666666668
Quinacrine hydrochloride,Tamoxifen citrate,MDA-MB-468,-7.666666666666668
Vinblastine sulfate (hydrate),Tamoxifen citrate,A498,4.5555555555555545
Vorinostat,Vinblastine sulfate (hydrate),HT29,-6.0
Everolimus,Tamoxifen citrate,OVCAR-3,0.7777777777777778
Vinblastine sulfate (hydrate),Imatinib mesylate,UACC-257,-0.1111111111111111
Everolimus,Vorinostat,OVCAR-4,-4.777777777777779
Nilotinib,Mitotane,IGROV1,-5.222222222222221
Dasatinib,Nilotinib,HL-60(TB),-0.8888888888888888
Vorinostat,Tretinoin,SK-MEL-5,-6.5555555555555545
Fulvestrant,Nilotinib,SK-MEL-5,-3.888888888888889
Nilotinib,Tretinoin,RPMI-8226,2.7777777777777777
Imatinib mesylate,Celecoxib,HCT-116,-20.666666666666668
Vorinostat,Sirolimus,PC-3,-4.888888888888889
Sorafenib tosylate,Cladribine,U251,0.3333333333333333
Mitotane,Dasatinib,KM12,-1.4444444444444444
Quinacrine hydrochloride,Mitotane,OVCAR-8,-1.3333333333333333
Nilotinib,Celecoxib,HOP-92,-2.7777777777777777
Fulvestrant,Imatinib mesylate,SK-MEL-5,-3.111111111111111
Docetaxel,Tamoxifen citrate,IGROV1,18.33333333333333
Sorafenib tosylate,Sirolimus,OVCAR-3,-8.0
Sirolimus,Nilotinib,UO-31,-0.6666666666666666
Dasatinib,Tamoxifen citrate,SF-539,-1.2222222222222223
Everolimus,Dasatinib,HT29,1.1111111111111112
Sorafenib tosylate,Nilotinib,EKVX,-2.888888888888889
Vorinostat,Tamoxifen citrate,K-562,-3.2222222222222223
Vinblastine sulfate (hydrate),Tretinoin,NCI-H460,-1.7777777777777777
Sirolimus,Vinblastine sulfate (hydrate),BT-549,-4.777777777777779
Vinblastine sulfate (hydrate),Tretinoin,SK-MEL-5,9.0
Nilotinib,Vinblastine sulfate (hydrate),DU-145,-2.4444444444444446
Vinblastine sulfate (hydrate),Tamoxifen citrate,SK-MEL-5,25.777777777777786
Romidepsin,Tretinoin,SF-268,-0.6666666666666666
Mitotane,Sirolimus,NCI-H23,-1.4444444444444444
Fulvestrant,Romidepsin,NCI-H226,-5.111111111111111
Romidepsin,Tamoxifen citrate,UO-31,1.7777777777777777
Imatinib mesylate,Cladribine,A498,-5.5555555555555545
Docetaxel,Sirolimus,MDA-MB-468,-0.2222222222222222
Dasatinib,Celecoxib,DU-145,-8.222222222222221
Romidepsin,Imatinib mesylate,HL-60(TB),-13.888888888888893
Fulvestrant,Tamoxifen citrate,UACC-62,4.4444444444444455
Sorafenib tosylate,Docetaxel,LOX IMVI,23.88888888888889
Nilotinib,Vinblastine sulfate (hydrate),SF-268,-4.0
Vinblastine sulfate (hydrate),Everolimus,PC-3,3.555555555555556
Dasatinib,Celecoxib,SW-620,-1.0
Docetaxel,Tamoxifen citrate,SW-620,24.555555555555557
Vinblastine sulfate (hydrate),Paclitaxel,ACHN,-5.0
Mitotane,Celecoxib,MDA-MB-435,-7.666666666666668
Quinacrine hydrochloride,Mitotane,HCT-116,2.6666666666666665
Mitotane,Cladribine,MALME-3M,-11.0
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),A549/ATCC,3.7777777777777777
Fulvestrant,Vorinostat,HOP-62,-3.111111111111111
Vinblastine sulfate (hydrate),Vorinostat,SF-539,-5.4444444444444455
Dasatinib,Imatinib mesylate,RPMI-8226,-8.444444444444445
Sorafenib tosylate,Docetaxel,SK-OV-3,13.333333333333336
Everolimus,Tretinoin,SF-539,-9.222222222222221
Dasatinib,Tretinoin,A549/ATCC,4.5555555555555545
Sorafenib tosylate,Vorinostat,KM12,-13.111111111111107
Everolimus,Nilotinib,NCI-H322M,-5.777777777777778
Vinblastine sulfate (hydrate),Paclitaxel,IGROV1,-2.333333333333333
Fulvestrant,Cladribine,SF-268,-2.2222222222222223
Vinblastine sulfate (hydrate),Tretinoin,HL-60(TB),12.111111111111107
Vorinostat,Paclitaxel,IGROV1,-5.4444444444444455
Vorinostat,Paclitaxel,UO-31,-3.4444444444444446
Sirolimus,Tamoxifen citrate,UO-31,7.333333333333332
Quinacrine hydrochloride,Cladribine,U251,-5.666666666666668
Sorafenib tosylate,Imatinib mesylate,OVCAR-3,-9.777777777777779
Everolimus,Docetaxel,UACC-62,5.5555555555555545
Fulvestrant,Everolimus,A498,17.11111111111111
Fulvestrant,Imatinib mesylate,KM12,-6.0
Sorafenib tosylate,Tretinoin,IGROV1,3.555555555555556
Thalidomide,Sirolimus,SW-620,4.0
Paclitaxel,Celecoxib,KM12,17.444444444444443
Mitotane,Everolimus,ACHN,2.1111111111111107
Tamoxifen citrate,Cladribine,LOX IMVI,-2.2222222222222223
Mitotane,Everolimus,HCT-116,1.2222222222222223
Quinacrine hydrochloride,Paclitaxel,A549/ATCC,-1.4444444444444444
Tretinoin,Celecoxib,SK-OV-3,-3.4444444444444446
Fulvestrant,Imatinib mesylate,OVCAR-4,-5.4444444444444455
Romidepsin,Sirolimus,HT29,-6.666666666666668
Vorinostat,Vinblastine sulfate (hydrate),A498,-3.111111111111111
Mitotane,Tretinoin,PC-3,1.8888888888888888
Vorinostat,Cladribine,UACC-62,-11.111111111111107
Everolimus,Cladribine,OVCAR-4,0.5555555555555556
Everolimus,Sirolimus,T-47D,-6.333333333333332
Sorafenib tosylate,Paclitaxel,OVCAR-4,4.888888888888889
Quinacrine hydrochloride,Paclitaxel,UACC-257,-8.666666666666666
Dasatinib,Nilotinib,HT29,-8.555555555555555
Thalidomide,Docetaxel,RPMI-8226,-11.666666666666664
Dasatinib,Paclitaxel,HCT-15,-2.888888888888889
Sorafenib tosylate,Imatinib mesylate,UACC-257,-1.8888888888888888
Everolimus,Imatinib mesylate,HS 578T,-11.111111111111107
Fulvestrant,Tamoxifen citrate,NCI-H460,-0.1111111111111111
Everolimus,Dasatinib,A498,-2.1111111111111107
Tamoxifen citrate,Celecoxib,MDA-MB-435,5.0
Dasatinib,Paclitaxel,UO-31,3.6666666666666665
Sirolimus,Vinblastine sulfate (hydrate),MDA-MB-468,-1.4444444444444444
Sorafenib tosylate,Tamoxifen citrate,SF-539,-5.333333333333333
Imatinib mesylate,Celecoxib,MCF7,-1.2222222222222223
Vinblastine sulfate (hydrate),Celecoxib,MALME-3M,-6.666666666666668
Quinacrine hydrochloride,Tretinoin,T-47D,-0.2222222222222222
Paclitaxel,Celecoxib,NCI-H226,14.333333333333336
Sirolimus,Celecoxib,HS 578T,9.666666666666666
Thalidomide,Vinblastine sulfate (hydrate),HOP-92,-2.2222222222222223
Docetaxel,Fulvestrant,OVCAR-3,16.88888888888889
Vorinostat,Vinblastine sulfate (hydrate),MDA-MB-468,-4.666666666666667
Mitotane,Dasatinib,HT29,-2.7777777777777777
Romidepsin,Tretinoin,RPMI-8226,-5.4444444444444455
Nilotinib,Imatinib mesylate,MDA-MB-468,-10.222222222222221
Sirolimus,Vinblastine sulfate (hydrate),IGROV1,-1.8888888888888888
Everolimus,Nilotinib,T-47D,-11.222222222222221
Dasatinib,Romidepsin,MDA-MB-468,-1.3333333333333333
Vinblastine sulfate (hydrate),Paclitaxel,HT29,-1.2222222222222223
Dasatinib,Celecoxib,SK-MEL-28,-9.888888888888893
Mitotane,Dasatinib,NCI-H322M,0.6666666666666666
Sorafenib tosylate,Docetaxel,HCT-116,17.555555555555557
